"YTS ID","IMDb ID","Movie Title","Year","Language","Rating","Quality","YTS URL","IMDb URL","Torrent URL"
"53868","tt1795369","Frankenstein","2011","en","8.6","1080p","https://yts.mx/movies/frankenstein-2011","https://www.imdb.com/title/tt1795369","https://yts.mx/torrent/download/B7FE24BA64DB7784EC5D9C94313711D901CE1E82"
"53327","tt0070233","Ivan Vasilyevich Changes His Profession","1973","ru","8.2","1080p","https://yts.mx/movies/ivan-vasilyevich-changes-his-profession-1973","https://www.imdb.com/title/tt0070233","https://yts.mx/torrent/download/0560BFB17E9C44D6153427F663D26E645A180CAC"
"53072","tt6791350","Guardians of the Galaxy Vol. 3","2023","en","8","1080p","https://yts.mx/movies/guardians-of-the-galaxy-vol-3-2023","https://www.imdb.com/title/tt6791350","https://yts.mx/torrent/download/772D391E59730B47722BE6A42ED316AD257364FC"
"53868","tt1795369","Frankenstein","2011","en","8.6","1080p","https://yts.mx/movies/frankenstein-2011","https://www.imdb.com/title/tt1795369","https://yts.mx/torrent/download/B7FE24BA64DB7784EC5D9C94313711D901CE1E82"
"54492","tt0034893","Les Inconnus dans la Maison","1942","fr","7","1080p","https://yts.mx/movies/les-inconnus-dans-la-maison-1942","https://www.imdb.com/title/tt0034893","https://yts.mx/torrent/download/968F1E0C34E0127737460F172916510CF8C188E2"
"54490","tt21187478","#Plugged","2023","en","6","1080p","https://yts.mx/movies/plugged-2023","https://www.imdb.com/title/tt21187478","https://yts.mx/torrent/download/6BABFA0D829BFB0B793DD003B9E19998A7D35350"
"54491","tt27120897","Losutokea","2023","ja","7.3","1080p","https://yts.mx/movies/losutokea-2023","https://www.imdb.com/title/tt27120897","https://yts.mx/torrent/download/FCA3397C89B836DA3F037FDDC054FD0BBCB760CE"
"54492","tt0034893","Les Inconnus dans la Maison","1942","fr","7","1080p","https://yts.mx/movies/les-inconnus-dans-la-maison-1942","https://www.imdb.com/title/tt0034893","https://yts.mx/torrent/download/968F1E0C34E0127737460F172916510CF8C188E2"
"54492","tt0034893","Les Inconnus dans la Maison","1942","fr","7","1080p","https://yts.mx/movies/les-inconnus-dans-la-maison-1942","https://www.imdb.com/title/tt0034893","https://yts.mx/torrent/download/968F1E0C34E0127737460F172916510CF8C188E2"
"54490","tt21187478","#Plugged","2023","en","6","1080p","https://yts.mx/movies/plugged-2023","https://www.imdb.com/title/tt21187478","https://yts.mx/torrent/download/6BABFA0D829BFB0B793DD003B9E19998A7D35350"
"54491","tt27120897","Losutokea","2023","ja","7.3","1080p","https://yts.mx/movies/losutokea-2023","https://www.imdb.com/title/tt27120897","https://yts.mx/torrent/download/FCA3397C89B836DA3F037FDDC054FD0BBCB760CE"
"54489","tt10656212","Buya Hamka","2023","id","7.1","1080p","https://yts.mx/movies/buya-hamka-2023","https://www.imdb.com/title/tt10656212","https://yts.mx/torrent/download/3C4026EBA6035413C8EF88B9B3359334D8C9D238"
"54492","tt0034893","Les Inconnus dans la Maison","1942","fr","7","1080p","https://yts.mx/movies/les-inconnus-dans-la-maison-1942","https://www.imdb.com/title/tt0034893","https://yts.mx/torrent/download/968F1E0C34E0127737460F172916510CF8C188E2"
"54490","tt21187478","#Plugged","2023","en","6","1080p","https://yts.mx/movies/plugged-2023","https://www.imdb.com/title/tt21187478","https://yts.mx/torrent/download/6BABFA0D829BFB0B793DD003B9E19998A7D35350"
